stt, month ,make,importer_type,fuel_type,vehicle_type,number,,
290, 2016-01 ,HONDA,,Petrol,Coupe/ Convertible,0,,
291, 2016-01 ,HONDA,,Others,Coupe/ Convertible,0,,
292, 2016-01 ,HYUNDAI,,Petrol,Coupe/ Convertible,7,,
293, 2016-01 ,HYUNDAI,,Diesel,Coupe/ Convertible,0,,
294, 2016-01 ,INFINITI,,Petrol,Coupe/ Convertible,0,,
295, 2016-01 ,JAGUAR,,Petrol,Coupe/ Convertible,0,,
296, 2016-01 ,JAGUAR,,Diesel,Coupe/ Convertible,0,,
297, 2016-01 ,JEEP,,Petrol,Coupe/ Convertible,0,,
298, 2016-01 ,KIA,,Petrol,Coupe/ Convertible,0,,
299, 2016-01 ,KIA,,Diesel,Coupe/ Convertible,0,,
300, 2016-01 ,KOENIGSEGG,,Petrol,Coupe/ Convertible,0,,
301, 2016-01 ,LAMBORGHINI,,Petrol,Coupe/ Convertible,2,,
302, 2016-01 ,LAND ROVER,,Petrol,Coupe/ Convertible,0,,
303, 2016-01 ,LAND ROVER,,Diesel,Coupe/ Convertible,0,,
304, 2016-01 ,M.G.,,Petrol,Coupe/ Convertible,1,,
305, 2016-01 ,MASERATI,,Petrol,Coupe/ Convertible,0,,
306, 2016-01 ,MASERATI,,Diesel,Coupe/ Convertible,0,,
307, 2016-01 ,MAZDA,,Petrol,Coupe/ Convertible,10,,
308, 2016-01 ,MAZDA,,Diesel,Coupe/ Convertible,0,,
309, 2016-01 ,Mclaren,,Petrol,Coupe/ Convertible,0,,
310, 2016-01 ,MERCEDES BENZ,,Petrol,Coupe/ Convertible,67,,
311, 2016-01 ,MERCEDES BENZ,,Diesel,Coupe/ Convertible,0,,
312, 2016-01 ,MERCEDES BENZ,,Others,Coupe/ Convertible,0,,
313, 2016-01 ,MINI,,Petrol,Coupe/ Convertible,0,,
314, 2016-01 ,MINI,,Diesel,Coupe/ Convertible,0,,
315, 2016-01 ,MITSUBISHI,,Petrol,Coupe/ Convertible,0,,
316, 2016-01 ,MITSUBISHI,,Others,Coupe/ Convertible,0,,
317, 2016-01 ,NISSAN,,Petrol,Coupe/ Convertible,0,,
318, 2016-01 ,NISSAN,,Others,Coupe/ Convertible,0,,
319, 2016-01 ,OPEL,,Petrol,Coupe/ Convertible,0,,
320, 2016-01 ,PERODUA,,Petrol,Coupe/ Convertible,0,,
321, 2016-01 ,PEUGEOT,,Petrol,Coupe/ Convertible,0,,
322, 2016-01 ,PEUGEOT,,Diesel,Coupe/ Convertible,0,,
323, 2016-01 ,PORSCHE,,Petrol,Coupe/ Convertible,5,,
324, 2016-01 ,PORSCHE,,Diesel,Coupe/ Convertible,0,,
325, 2016-01 ,RENAULT,,Petrol,Coupe/ Convertible,0,,
326, 2016-01 ,RENAULT,,Diesel,Coupe/ Convertible,0,,
327, 2016-01 ,ROLLS ROYCE,,Petrol,Coupe/ Convertible,2,,
328, 2016-01 ,SSANGYONG,,Petrol,Coupe/ Convertible,0,,
329, 2016-01 ,SSANGYONG,,Diesel,Coupe/ Convertible,0,,
330, 2016-01 ,SUBARU,,Petrol,Coupe/ Convertible,0,,
331, 2016-01 ,SUZUKI,,Petrol,Coupe/ Convertible,0,,
332, 2016-01 ,TESLA,,Others,Coupe/ Convertible,0,,
333, 2016-01 ,TOYOTA,,Petrol,Coupe/ Convertible,5,,
334, 2016-01 ,TOYOTA,,Diesel,Coupe/ Convertible,0,,
335, 2016-01 ,TOYOTA,,Others,Coupe/ Convertible,0,,
336, 2016-01 ,TRIUMPH,,Petrol,Coupe/ Convertible,0,,
337, 2016-01 ,VOLKSWAGEN,,Petrol,Coupe/ Convertible,0,,
338, 2016-01 ,VOLKSWAGEN,,Diesel,Coupe/ Convertible,0,,
339, 2016-01 ,VOLVO,,Petrol,Coupe/ Convertible,0,,
340, 2016-01 ,VOLVO,,Diesel,Coupe/ Convertible,0,,
341, 2016-02 ,ALFA ROMEO,,Petrol,Hatchback,5,,
342, 2016-02 ,ALPINA,,Petrol,Hatchback,0,,
343, 2016-02 ,ASTON MARTIN,,Petrol,Hatchback,1,,
344, 2016-02 ,AUDI,,Petrol,Hatchback,18,,
345, 2016-02 ,B.M.W.,,Petrol,Hatchback,6,,
346, 2016-02 ,B.M.W.,,Diesel,Hatchback,41,,
347, 2016-02 ,B.M.W.,,Others,Hatchback,1,,
348, 2016-02 ,BENTLEY,,Petrol,Hatchback,0,,
349, 2016-02 ,CHERY,,Petrol,Hatchback,0,,
350, 2016-02 ,CHEVROLET,,Petrol,Hatchback,3,,
351, 2016-02 ,CHRYSLER,,Diesel,Hatchback,0,,
352, 2016-02 ,CITROEN,,Petrol,Hatchback,0,,
353, 2016-02 ,CITROEN,,Diesel,Hatchback,0,,
354, 2016-02 ,DAIHATSU,,Petrol,Hatchback,0,,
355, 2016-02 ,FERRARI,,Petrol,Hatchback,0,,
356, 2016-02 ,FIAT,,Petrol,Hatchback,0,,
357, 2016-02 ,FORD,,Petrol,Hatchback,12,,
358, 2016-02 ,HONDA,,Petrol,Hatchback,150,,
359, 2016-02 ,HONDA,,Others,Hatchback,0,,
360, 2016-02 ,HYUNDAI,,Petrol,Hatchback,5,,
361, 2016-02 ,HYUNDAI,,Diesel,Hatchback,0,,
362, 2016-02 ,INFINITI,,Petrol,Hatchback,0,,
363, 2016-02 ,JAGUAR,,Petrol,Hatchback,0,,
364, 2016-02 ,JAGUAR,,Diesel,Hatchback,0,,
365, 2016-02 ,JEEP,,Petrol,Hatchback,0,,
366, 2016-02 ,KIA,,Petrol,Hatchback,2,,
367, 2016-02 ,KIA,,Diesel,Hatchback,0,,
368, 2016-02 ,KOENIGSEGG,,Petrol,Hatchback,0,,
369, 2016-02 ,LAMBORGHINI,,Petrol,Hatchback,0,,
370, 2016-02 ,LAND ROVER,,Petrol,Hatchback,0,,
371, 2016-02 ,LAND ROVER,,Diesel,Hatchback,0,,
372, 2016-02 ,M.G.,,Petrol,Hatchback,0,,
